year,temp_c,precip_mm,iso3
2004,26.248169398907102,2588.6,BRN
2005,26.339342465753425,2768.59,BRN
2006,26.331616438356168,3014.79,BRN
2007,26.25427397260274,3285.56,BRN
2008,26.166803278688523,3289.01,BRN
2009,26.3841095890411,3110.92,BRN
2010,26.43495890410959,3443.81,BRN
2011,26.221479452054794,3200.61,BRN
2012,26.333633879781424,2864.98,BRN
2013,26.316657534246573,3008.21,BRN
2014,26.289917808219176,2602.44,BRN
2004,28.424808743169397,1329.52,KHM
2005,28.40767123287671,1300.69,KHM
2006,28.123342465753424,1589.45,KHM
2007,28.33750684931507,1119.62,KHM
2008,28.03120218579235,1167.39,KHM
2009,28.51635616438356,854.66,KHM
2010,28.946739726027396,1005.28,KHM
2011,27.956739726027394,1234.16,KHM
2012,28.34273224043716,1162.66,KHM
2013,28.33109589041096,1032.34,KHM
2014,28.53468493150685,1028.87,KHM
2004,27.1596174863388,2015.6200000000001,IDN
2005,27.29967123287671,2119.02,IDN
2006,27.196794520547947,1657.91,IDN
2007,27.216109589041093,2380.33,IDN
2008,26.97775956284153,2126.29,IDN
2009,27.30931506849315,2120.29,IDN
2010,27.339643835616435,2925.67,IDN
2011,27.007397260273976,1741.1100000000001,IDN
2012,27.300655737704922,1845.94,IDN
2013,27.351561643835616,3026.34,IDN
2014,27.376684931506848,2936.46,IDN
2004,25.757814207650274,1025.86,LAO
2005,26.181753424657536,1152.69,LAO
2006,26.468465753424656,891.02,LAO
2007,26.574082191780825,835.89,LAO
2008,24.988333333333333,1234.1,LAO
2009,26.16986301369863,929.09,LAO
2010,26.930191780821918,1030.76,LAO
2011,24.7426301369863,1508.66,LAO
2012,26.17308743169399,894.53,LAO
2013,26.276986301369863,1097.3,LAO
2014,26.142547945205482,951.57,LAO
2004,25.321202185792348,2405.82,MYS
2005,25.40635616438356,2167.62,MYS
2006,25.305835616438355,2990.86,MYS
2007,25.232301369863016,2573.77,MYS
2008,25.134098360655738,2912.42,MYS
2009,25.317671232876716,2579.2,MYS
2010,25.62594520547945,2652.29,MYS
2011,25.154054794520547,2454.7599999999998,MYS
2012,25.392431693989067,2674.74,MYS
2013,25.453835616438354,2436.12,MYS
2014,25.581232876712328,2342.72,MYS
2004,26.870546448087435,292.6,MMR
2005,27.60969863013699,177.17,MMR
2006,27.244575342465755,243.75,MMR
2007,27.02909589041096,184.21,MMR
2008,25.598524590163933,811.87,MMR
2009,26.17558904109589,572.94,MMR
2010,26.14249315068493,836.59,MMR
2011,24.90676712328767,1043.92,MMR
2012,25.410464480874317,942.84,MMR
2013,25.875999999999998,775.78,MMR
2014,26.383287671232875,617.16,MMR
2004,27.236885245901643,2218.32,PHL
2005,27.386630136986305,2132.48,PHL
2006,27.300438356164385,2310.85,PHL
2007,27.376136986301372,2485.98,PHL
2008,26.86546448087432,2642.53,PHL
2009,26.90868493150685,3225.56,PHL
2010,27.78068493150685,1856.17,PHL
2011,26.89427397260274,3898.38,PHL
2012,27.144043715846994,3837.86,PHL
2013,27.49641095890411,3469.22,PHL
2014,27.45695890410959,2608.21,PHL
2004,26.76087431693989,2302.52,SGP
2005,26.933232876712328,2163.06,SGP
2006,26.82112328767123,2805.11,SGP
2007,26.698657534246575,2857.97,SGP
2008,26.686857923497268,2506.88,SGP
2009,26.96134246575342,2139.73,SGP
2010,27.28109589041096,2292.94,SGP
2011,26.707589041095893,2956.54,SGP
2012,27.120628415300544,2352.19,SGP
2013,27.1658904109589,2682.16,SGP
2014,27.31786301369863,2071.71,SGP
2004,28.136666666666667,1068.66,THA
2005,27.76367123287671,1373.04,THA
2006,27.586191780821917,1309.08,THA
2007,27.604958904109587,1289.3,THA
2008,27.37314207650273,1394.61,THA
2009,27.447205479452055,1443.72,THA
2010,28.104164383561645,1479.0,THA
2011,26.84268493150685,1591.0,THA
2012,28.30808743169399,1384.11,THA
2013,27.799917808219178,1407.3,THA
2014,28.15027397260274,1069.39,THA
2004,23.07879781420765,1360.38,VNM
2005,23.564273972602738,1560.3600000000001,VNM
2006,23.624794520547944,1212.07,VNM
2007,23.440109589041093,1372.52,VNM
2008,22.47357923497268,1797.32,VNM
2009,23.202246575342464,1376.07,VNM
2010,23.48068493150685,1313.72,VNM
2011,22.07150684931507,1598.74,VNM
2012,23.18418032786885,1770.24,VNM
2013,22.78978082191781,1982.1399999999999,VNM
2014,23.022027397260278,1444.56,VNM
